year,career,ranking,studyArea
2019,Machine Learning Engineer,1,ComputerSciencesAndInformationTechnology
2019,Insurance Broker,2,Commerce_FinanceAndAcounting
2019,Full-stack Developer,3,ComputerSciencesAndInformationTechnology
2019,Insurance Advisor,4,Commerce_FinanceAndAcounting
2019,Litigation Attorney,5,SocialSciences
2019,Litigation Associate,6,SocialSciences
2019,Dental Hygienist,7,BiologicalAndLifeSciences
2019,Associate Attorney,8,ManagementSciences
2019,Realtor,9,Commerce_FinanceAndAcounting
2019,Salesforce Developer,10,ComputerSciencesAndInformationTechnology
2019,Robotics Engineer,11,Engineering
2019,Senior Product Designer,12,ArtAndDesign
2019,Computer Vision Engineer,13,ComputerSciencesAndInformationTechnology
2019,Psychotherapist,14,SocialSciences
2019,Product Owner,15,ManagementSciences
2019,Liscensed Clinical Social Worker,16,SocialSciences
2019,Senior Supply Chain Specialist,17,ManagementSciences
2019,Agile Coach,18,ManagementSciences
2019,Construction Estimator,19,Engineering
2019,Veterinarian,20,BiologicalAndLifeSciences
2019,Construction Superintendent,21,Engineering
2019,Data Scientist,22,ComputerSciencesAndInformationTechnology
2019,Certified Public Accountant,23,Commerce_FinanceAndAcounting 
2019,Project Architect,24,ArtAndDesign
2019,Senior Financial Consultant,25,Commerce_FinanceAndAcounting
2020,Software Architect,1,ComputerSciencesAndInformationTechnology
2020,Full-stack Developer,2,ComputerSciencesAndInformationTechnology
2020,Real Estate Agent,3,Commerce_FinanceAndAcounting
2020,Dentist,4,BiologicalAndLifeSciences
2020,Development Operations Engineer,5,ComputerSciencesAndInformationTechnology
2020,Electrical Engineer,6,Engineering
2020,Java Developer,7,ComputerSciencesAndInformationTechnology
2020,Data Scientist,8,ComputerSciencesAndInformationTechnology
2020,IT Security Specialist,9,ComputerSciencesAndInformationTechnology
2020,Sales Director,10,Commerce_FinanceAndAcounting
2020,Product Owner,11,ManagementSciences
2020,Data Engineer,12,ComputerSciencesAndInformationTechnology
2020,Finance Manager,13,Commerce_FinanceAndAcounting
2020,Veterinarian,14,BiologicalAndLifeSciences
2020,Scientist,15,BiologicalAndLifeSciences
2020,Superintendent,16,Engineering
2020,Civil Engineer,17,Engineering
2020,Attorney,18,ManagementSciences
2020,Controller,19,ManagementSciences
2020,Cloud Engineer,20,ComputerSciencesAndInformationTechnology
2020,HR Business Partner,21,ManagementSciences
2020,Internal Medicine Physician,22,MedicalSciences
2020,IT Technician,23,ComputerSciencesAndInformationTechnology
2020,Primary Care Physician,24,MedicalSciences
2020,Architect,25,ArtAndDesign
2021,Java Developer,1,ComputerSciencesAndInformationTechnology
2021,Data Scientist,2,ComputerSciencesAndInformationTechnology
2021,Product Manager,3,ManagementSciences
2021,Enterprise Architect,4,ComputerSciencesAndInformationTechnology
2021,DevOps Engineer,5,ComputerSciencesAndInformationTechnology
2021,Information Security Engineer,6,ComputerSciencesAndInformationTechnology
2021,Business Development Manager,7,Commerce_FinanceAndAcounting
2021,Mobile Engineer,8,ComputerSciencesAndInformationTechnology
2021,Software Engineer,9,ComputerSciencesAndInformationTechnology
2021,Dentist,10,BiologicalAndLifeSciences
2021,Frontend Engineer,11,ComputerSciencesAndInformationTechnology
2021,HR Business Partner,12,ManagementSciences
2021,Strategy Manager,13,ManagementSciences
2021,Salesforce Developer,14,ComputerSciencesAndInformationTechnology
2021,Automation Engineer,15,Engineering
2021,Backend Engineer,16,ComputerSciencesAndInformationTechnology
2021,Machine Learning Engineer,17,ComputerSciencesAndInformationTechnology
2021,Product Marketing Manager,18,ManagementSciences
2021,Tax Manager,19,Commerce_FinanceAndAcounting
2021,Program Manager,20,ManagementSciences
2022,Registered Nurse,1,MedicalSciences
2022,Optometrist,2,MedicalSciences
2022,Site Reliability Engineer,3,ComputerSciencesAndInformationTechnology
2022,Real Estate Agent,4,Commerce_FinanceAndAcounting
2022,Pharmacist,5,BiologicalAndLifeSciences
2022,Software Engineer,6,ComputerSciencesAndInformationTechnology
