Study Area,Degree,University,City,Degree Duration,Fee,Contact Number,Email,URL,Address
Medical Sciences,Medicine - Mbbs,Liaquat University Of Medical And Health Sciences,Jamshoro,"MBBS , 5 Years",31900,+92 22 9213305,info@lumhs.edu.pk ,https://www.lumhs.edu.pk,"Liaquat University of Medical and Health Sciences, Deh Soun Valhar, Jamshoro, Sindh, Pakistan."
Medical Sciences,Medicine - Mbbs, Jinnah Sindh Medical University,Karachi,"MBBS , 5 Years",31900,+92 21 99205185,info@jsmu.edu.pk,http://www.jsmu.edu.pk/,"Jinnah Sindh Medical University Rafiqui H.J Shaheed Road, Karachi, Pakistan"
Medical Sciences,Medicine - Mbbs,Fatima Jinnah Medical University,Lahore,"MBBS , 5 Years",15630,+92 (42) 99211145-54,info@fjmu.edu.pk ,http://www.fjmu.edu.pk/,"Fatima Jinnah Medical University Queen's Road, Lahore, Pakistan"
Medical Sciences,Medicine - Mbbs,King Edward Medical University / Mayo Hospital,Lahore,"MBBS , 5 Years",15630,+92 42 9921145-54,info@kemu.edu.pk,http://www.kemu.edu.pk/,"Nelagumbad, Anarkali, Lahore, Punjab, Pakistan"
Medical Sciences,Medicine - Mbbs,Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,"BDS , 4 Years",31900,+92 (74) 9410903,not mentioned,https://www.smbbmu.edu.pk/beta/,"Shaheed Mohtarma Benazir Bhutto Medical University, Larkana Campus, Chandka Medical College Road, Larkana, Sindh, Pakistan."
Medical Sciences,Medicine - Mbbs,Nishtar Medical College / Nishter Hospital,Multan,"MBBS , 5 Years",15630,+92 61 9200232,info@nmch.edu.pk ,http://nmch.edu.pk/,"Nishtar Medical College / Nishter Hospital Nishtar Rd, Nishtar Chowk, Multan, Punjab, Pakistan"
Medical Sciences,Medicine - Mbbs, Peoples University Of Medical And Health Sciences For Women,Nawab Shah,"MBBS , 5 Years",60800,+92 244 937 052-5,info@pumhs.edu.pk ,https://pumhs.edu.pk/ ,"Shaheed Benazirabad, Nawabshah, Sindh, Pakistan"
Medical Sciences,Medicine - Mbbs,Bolan Medical College / Bolan Hospital,Quetta,"MBBS , 5 Years",70000,+92 (81) 9213303,info@bmc.edu.pk ,http://www.bmc.edu.pk/,"Bolan Medical College / Bolan Hospital BMC Chowk, Brewery Road, Quetta, Balochistan, Pakistan"
Medical Sciences,Medicine - Mbbs,Rawalpindi Medical University,Rawalpindi,"MBBS , 5 Years",23000,+92 (51) 9290527,info@rmur.edu.pk ,http://www.rmur.edu.pk/,"Tipu Road, Rawalpindi, Pakistan"
Medical Sciences,Medicine - Mbbs,The University Of Modern Sciences,Tando Muhammad Khan,"MBBS , 5 Hours",0,(022) 3409562,socialmedia@ums.edu.pk ,https://www.facebook.com/TUMS.Official/ ,"Main Hyderabad Badin Road, Tando Muhammad Khan, Sindh, Pakistan-70220"
